Column1;Column2;Helyiség;Total_car_count;car_count_less_than_10_years
Baumgartner Autócentrum Kft.;/partner/baumgartner_autocentrum_kft-6681;Budapest;;
Baumgartner Autócentrum Kft.;/partner/baumgartner_autocentrum_kft-17591;Budapest;;
Bavaria Hungary;/partner/bavaria_hungary-18242;Budapest;;
Bayer Flotta;/partner/bayer_flotta-19354;Budapest;;
Bayliner;/partner/bayliner-11373;Budapest;;
Be Shark Kft.;/partner/be_shark_kft-19045;Budapest;;
Béci Mobile Kft.;/partner/beci_mobile_kft-16818;Budapest;;
Bécsi Autópark Kft.;/partner/becsi_autopark_kft-428;Budapest;;
Bécsi Autópark Kft. Pest;/partner/becsi_autopark_kft_pest-19469;Budapest;;
Benelux Autók;/partner/benelux_autok-3458;Budapest;;
Beni Cars;/partner/beni_cars-16774;Budapest;;
Bentley Budapest & Lamborghini Budapest;/partner/bentley_budapest_lamborghini_budapest-20143;Budapest;;
Bentley Budapest & Lamborghini Budapest Új autók;/partner/bentley_budapest_lamborghini_budapest_uj_autok-20029;Budapest;;
Berényi és Társa Kft.;/partner/berenyi_es_tarsa_kft-2244;Budapest;;
Best Auto Invest Kft.;/partner/best_auto_invest_kft-20309;Budapest;;
Best Style Courier Kft;/partner/best_style_courier_kft-16107;Budapest;;
BestCars Trade Kft.;/partner/bestcars_trade_kft-16880;Budapest;;
BESTRENT Kft.;/partner/bestrent_kft-19800;Budapest;;
BG Tech Kft;/partner/bg_tech_kft-20008;Budapest;;
Bimpi-Car Kft.;/partner/bimpi-car_kft-3222;Budapest;;
Bingó-Autópark;/partner/bingo-autopark-1533;Budapest;;
Bio Build Kft;/partner/bio_build_kft-19033;Budapest;;
BirdieGroup Magyarország;/partner/birdiegroup_magyarorszag-19424;Budapest;;
Biztospont Autó Kft.;/partner/biztospont_auto_kft-19549;Budapest;;
BKM Nonprofit Zrt.;/partner/bkm_nonprofit_zrt-19013;Budapest;;
Black Cars;/partner/black_cars-16983;Budapest;;
BLP Group-Boating Luxury Performance;/partner/blp_group-boating_luxury_performance-19290;Budapest;;
Bluebox Global Kft.;/partner/bluebox_global_kft-217;Budapest;;
Bm Cars Hungary Kft.;/partner/bm_cars_hungary_kft-20223;Budapest;;
BMW Budapest Motors;/partner/bmw_budapest_motors-2140;Budapest;;
Borguben Kft.;/partner/borguben_kft-19935;Budapest;;
Boroden Auto Kft.;/partner/boroden_auto_kft-20314;Budapest;;
Boros Szabó Trade Kft;/partner/boros_szabo_trade_kft-17749;Budapest;;
Brand Automobile Kft.;/partner/brand_automobile_kft-16246;Budapest;;
Bravoauto szalon & szervíz;/partner/bravoauto_szalon_szerviz-1040;Budapest;;
Breki Car;/partner/breki_car-17249;Budapest;;
Brian James Trailers;/partner/brian_james_trailers-14528;Budapest;;
Brillant Kft.;/partner/brillant_kft-1554;Budapest;;
Broker-Rent;/partner/broker-rent-3603;Budapest;;
Broker-Rent Kft.;/partner/broker-rent_kft-15891;Budapest;;
Bubics Car Trade;/partner/bubics_car_trade-17230;Budapest;;
Budaauto;/partner/budaauto-780;Budapest;;
Budafok Autó;/partner/budafok_auto-15402;Budapest;;
Budamobil 2008 Kft.;/partner/budamobil_2008_kft-18672;Budapest;;
Budaörsautó;/partner/budaorsauto-16674;Budapest;;
Budapest Autó;/partner/budapest_auto-7470;Budapest;;
Budapest Autóház Kft.;/partner/budapest_autohaz_kft-5307;Budapest;;
